순번,생산라인코드,생산라인명,품목코드,품목명,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,생산일자
3,C003,쿠커 #3,23R04013,이마트돈까스소스600g(재),W003,70.247064733,104.14706473,139.52596473,23.586,209.481,78.79,2021-01-05
4,C003,쿠커 #3,23R04013,이마트돈까스소스600g(재),W003,71.37893382,95.07893382,130.41758382,23.559,208.423,73.36,2021-01-05
16,C003,쿠커 #3,23R04013,이마트돈까스소스600g(재),W003,71.633106617,98.833106617,134.57120662,23.825,205.944,79.14,2021-01-05
21,C006,2동 쿠커 #3,26A02009,미스터피자단호박샐러드(재),W003,71.328547297,132.9285473,167.8032973,23.25,204.228,75.27,2021-01-06
1,C007,프리머 #1,26B06029,골드마요네즈-수출(재),W003,73.400825901,112.1008259,147.9318759,23.887,213.278,75.89,2021-01-05
9,C007,프리머 #1,26B04003,해표골드마요네즈(재),W003,73.070539086,97.870539086,133.62498909,23.836,208.122,71.65,2021-01-05
7,D001,3K 캔,13S01017,임실앤치즈피자스파게티소스,W005,71.871744568,140.17174457,175.69924457,23.685,212.512,71.55,2021-01-05
14,D004,PET병,13R02051,이마트베스트돈까스소스,W005,70.895703826,112.59570383,148.06715383,23.648,209.952,74.31,2021-01-05
22,D004,PET병,13R02052,이마트베스트스테이크소스,W005,71.748776231,119.64877623,155.27932623,23.754,206.95,72.56,2021-01-06
23,D004,PET병,13R02052,이마트베스트스테이크소스,W005,69.540388521,112.84038852,148.40788852,23.712,209.362,71.91,2021-01-06
24,D004,PET병,13R02052,이마트베스트스테이크소스,W005,70.551087887,103.85108789,139.62498789,23.849,211.681,73.14,2021-01-06
25,D004,PET병,13R02052,이마트베스트스테이크소스,W005,70.131415478,102.43141548,137.91556548,23.656,207.683,79.73,2021-01-06
27,D004,PET병,13R02057,이마트베스트허브바베큐소스,W005,70.722246691,119.02224669,154.36199669,23.56,204.461,73.01,2021-01-06
28,D004,PET병,13R02056,이마트베스트콜슬로우드레싱,W005,71.364055523,93.564055523,128.70590552,23.428,208.128,74.84,2021-01-06
10,D005,3.2마요,16B04003,해표골드마요네즈,W005,70.217449625,118.11744962,153.85944962,23.828,213.004,74.34,2021-01-05
11,D005,3.2마요,16B04003,해표골드마요네즈,W005,71.618317015,140.31831702,175.34021702,23.348,203.857,74.57,2021-01-05
12,D005,3.2마요,16B04003,해표골드마요네즈,W005,72.854293526,101.35429353,136.79624353,23.628,212.88,72.6,2021-01-05
15,D005,3.2마요,16B04003,해표골드마요네즈,W005,70.486868835,107.18686884,142.67851884,23.661,203.697,74.56,2021-01-05
17,D005,3.2마요,16B04003,해표골드마요네즈,W005,71.644587981,90.544587981,125.52193798,23.318,197.785,78.03,2021-01-05
19,D006,튜브,13R11005,이마트스테이크소스600g,W005,70.310472979,127.71047298,163.55787298,23.898,210.507,73.03,2021-01-05
6,D011,2동 오리히로,16A01002,감자샐러드-P,W005,71.715559251,102.61555925,137.79135925,23.451,209.609,78.95,2021-01-05
20,D011,2동 오리히로,16A02009,미스터피자단호박샐러드,W005,71.266646097,85.866646097,121.5369461,23.78,211.721,73.31,2021-01-06
13,P004,PET#1,13R02051,이마트베스트돈까스소스,W007,71.401188818,111.90118882,146.58573882,23.123,200.068,,2021-01-05
18,P004,PET#1,13R02052,이마트베스트스테이크소스,W007,72.417951096,122.3179511,158.2237511,23.937,208.914,74.56,2021-01-05
26,P004,PET#1,13R02052,이마트베스트스테이크소스,W007,70.566188025,87.466188025,122.89743803,23.621,205.822,79.65,2021-01-06
29,P004,PET#1,13R02054,이마트베스트머스타드소스,W007,71.288438843,125.08843884,160.24348884,23.437,205.233,76.77,2021-01-06
2,C001,쿠커 #1,23P05010,시아스피자소스(재),W003,71.587695373,93.987695373,129.00334537,23.344,202.473,75.92,2021-01-06
5,C001,쿠커 #1,23P20101,핸드피자소스(재),W003,71.476012867,99.276012867,134.96891287,23.795,205.089,79.76,2021-01-06
1,C003,쿠커 #3,23R11005,이마트스테이크소스600g(재),W003,72.063595162,99.863595162,135.82159516,23.972,210.02,77.66,2021-01-06
3,C003,쿠커 #3,23L01001,이마트 야채케챱600g(재),W003,71.297253653,91.597253653,127.38975365,23.862,207.712,80.33,2021-01-06
4,C003,쿠커 #3,23L01001,이마트 야채케챱600g(재),W003,70.557853283,109.95785328,145.74910328,23.861,208.767,77.19,2021-01-06
8,C003,쿠커 #3,23L01001,이마트 야채케챱600g(재),W003,73.051872875,112.55187288,148.09797288,23.697,205.991,75.43,2021-01-06
11,C005,2동 쿠커 #4,26A01007,감자샐러드바145g(재),W003,70.922082553,104.92208255,140.60713255,23.79,207.907,72.52,2021-01-06
6,C007,프리머 #1,26B06022,피자스쿨마요네즈(재),W003,73.150262966,108.25026297,144.82666297,24.384,212.975,80.53,2021-01-06
7,C010,파일롯,23B00058,칵테일소스-R(재),W003,72.727963843,76.627963843,112.36981384,23.828,204.953,75.82,2021-01-06
12,D004,PET병,13R10009,베스트셀렉트머스타드520g,W005,71.111955114,109.71195511,145.20340511,23.661,205.219,73.54,2021-01-07
10,D007,2동 6열컵실러#1,16A01007,감자샐러드바145g,W005,72.123930332,101.92393033,136.76913033,23.23,208.276,75.23,2021-01-06
13,D013,마요네즈 수동,13D19002,1/2플레인소스-현미유,W005,70.714734047,81.714734047,117.54773405,23.889,209.618,75.44,2021-01-07
9,P011,파일롯(#B),13K03115,시아스찹스테이크소스1kg,W007,71.532674321,102.33267432,138.02142432,23.793,208.614,77.1,2021-01-06
14,C001,쿠커 #1,23P02106,미스터피자피자소스엠피(재),W003,69.982112923,109.18211292,144.00851292,23.218,207.037,75.23,2021-01-07
1,C002,쿠커 #2,23A00410,샘표안동찜닭소스(재),W003,71.623915906,120.42391591,155.99431591,23.714,212.47,79.53,2021-01-07
29,C002,쿠커 #2,23V00019,고구마샐러드믹스베이스(재),W003,71.807961315,123.30796131,159.28481131,23.985,211.799,72.06,2021-01-08
2,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,71.22140871,97.32140871,133.04910871,23.818,210.077,79.89,2021-01-07
6,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,72.588293475,103.38829348,138.73319348,23.563,205.544,78.75,2021-01-07
7,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,70.253356679,88.353356679,124.20610668,23.902,207.922,73.07,2021-01-07
12,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,72.114842648,110.91484265,146.87569265,23.974,209.797,73.42,2021-01-07
15,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,71.906267358,96.106267358,131.39396736,23.525,200.842,73.62,2021-01-07
16,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,72.697657858,110.89765786,146.56865786,23.781,214.847,77.88,2021-01-07
22,C006,2동 쿠커 #3,26A01014,미스터피자고구마샐러드엠피(재),W003,72.897166604,101.3971666,136.9691666,23.715,206.626,71.51,2021-01-07
5,C007,프리머 #1,26B03005,마요네즈-P(현미유)/국산난황(재),W003,73.414541685,106.81454168,142.41954168,23.737,204.485,74.56,2021-01-07
20,D002,로타리 #1,13A00388,우뜸뼈해장국소스,W005,72.699667055,108.39966705,143.47266705,23.382,201.297,71.41,2021-01-08
23,D004,PET병,13D03091,참깨&아몬드드레싱495g,W005,70.828124995,111.328125,146.206375,23.252,204.451,73.71,2021-01-07
25,D004,PET병,13D03091,참깨&아몬드드레싱495g,W005,69.298519717,106.59851972,142.25571972,23.771,207.801,76.56,2021-01-07
26,D004,PET병,13D03091,참깨&아몬드드레싱495g,W005,69.026019962,107.92601996,144.05361996,24.085,218.9,75.44,2021-01-08
28,D004,PET병,13D03086,포도씨유로만든파인애플드레싱545g,W005,71.576923998,101.676924,136.724224,23.365,205.697,74.72,2021-01-08
10,D005,3.2마요,16B06003,골드마요네즈3.2kg,W005,71.555133303,107.6551333,143.2706833,23.744,207.509,75.39,2021-01-07
8,D005,3.2마요,16B06003,골드마요네즈3.2kg,W005,70.088443663,95.488443663,130.98484366,23.664,204.532,77.38,2021-01-07
17,D005,3.2마요,16B06008,이츠웰골드마요네즈3.2kg,W005,70.980270224,104.08027022,140.10202022,24.015,205.937,77.15,2021-01-07
21,D005,3.2마요,16B06008,이츠웰골드마요네즈3.2kg,W005,72.20700139,113.50700139,148.87280139,23.577,209.385,79.14,2021-01-07
3,D013,마요네즈 수동,16B03005,마요네즈-P(현미유)/국산난황,W005,72.414496137,115.51449614,150.33969614,23.217,204.995,75.39,2021-01-07
4,D013,마요네즈 수동,16B03005,마요네즈-P(현미유)/국산난황,W005,70.622977136,124.82297714,160.73047714,23.938,211.687,75.88,2021-01-07
19,P002,파우치포장(#2),13C00001,신세기짜장소스,W007,69.268743679,83.168743679,118.32714368,23.439,205.855,76.31,2021-01-07
24,P004,PET#1,13D03091,참깨&아몬드드레싱495g,W007,69.993328919,117.79332892,153.38057892,23.725,204.418,71.58,2021-01-07
27,P004,PET#1,13D03087,포도씨유로만든파인요거트드레싱495g,W007,70.275046354,119.17504635,154.58094635,23.604,203.463,76.92,2021-01-08
30,P004,PET#1,13D03085,포도씨유로만든키위드레싱540g,W007,71.202888481,126.30288848,161.52713848,23.483,206.459,71.45,2021-01-08
9,P005,3.2K마요포장(#5),16B06003,골드마요네즈3.2kg,W007,71.513193657,103.01319366,138.58089366,23.712,207.144,78.55,2021-01-07
18,P005,3.2K마요포장(#5),16B06008,이츠웰골드마요네즈3.2kg,W007,70.158518851,82.258518851,117.55891885,23.534,203.645,79.26,2021-01-07
1,C003,쿠커 #3,23D01157,이마트1000아일랜드드레싱540g(재),W003,71.696482326,100.59648233,136.63073233,24.023,209.009,77.84,2021-01-08
2,D013,마요네즈 수동,16B01011,시아스샐러드마요네즈18kg,W005,70.063537232,112.16353723,147.37063723,23.471,202.89,70.51,2021-01-08
3,P005,3.2K마요포장(#5),16B01011,시아스샐러드마요네즈18kg,W007,70.122784276,128.12278428,164.50098428,24.252,215.648,73.56,2021-01-08
2,C001,쿠커 #1,23L00007,토마토케찹2kg(재),W003,72.232322873,102.03232287,137.28137287,23.499,205.014,78.22,2021-01-10
9,C001,쿠커 #1,23P01020,미스터피자살사소스엠피(재),W003,70.402701333,92.402701333,127.61575133,23.475,204.546,71.88,2021-01-10
13,C001,쿠커 #1,23P01020,미스터피자살사소스엠피(재),W003,69.414187449,72.214187449,107.75903745,23.697,206.986,77.85,2021-01-10
14,C001,쿠커 #1,23P01020,미스터피자살사소스엠피(재),W003,71.003836441,98.803836441,134.60163644,23.865,208.861,79.35,2021-01-10
18,C001,쿠커 #1,23P01020,미스터피자살사소스엠피(재),W003,72.073529092,110.57352909,145.40402909,23.22,202.536,70.77,2021-01-10
11,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,70.610344195,87.510344195,123.1437442,23.756,206.462,72.65,2021-01-10
17,C004,쿠커 #4,23D02080,참깨흑임자드레싱(재),W003,70.649333153,105.14933315,139.68018315,23.021,200.541,,2021-01-10
20,C004,쿠커 #4,23D02080,참깨흑임자드레싱(재),W003,71.806233348,89.906233348,125.06528335,23.439,207.826,78.08,2021-01-11
12,C005,2동 쿠커 #4,26A01007,감자샐러드바145g(재),W003,71.418394203,94.418394203,129.8937442,23.65,208.124,75.9,2021-01-10
16,C006,2동 쿠커 #3,26A01016,시아스고구마샐러드믹스(재),W003,73.159762105,95.159762105,130.75191211,23.728,213.227,78.94,2021-01-10
19,C006,2동 쿠커 #3,26A01016,시아스고구마샐러드믹스(재),W003,71.310835096,132.2108351,166.2825851,22.715,197.757,,2021-01-10
3,C007,프리머 #1,26B04003,해표골드마요네즈(재),W003,71.817472691,102.51747269,138.03812269,23.68,206.885,71.11,2021-01-10
5,C007,프리머 #1,26B04003,해표골드마요네즈(재),W003,71.4284858,125.1284858,159.5910858,22.975,198.316,,2021-01-10
7,D003,로타리 #2,13C01040,탕수소스140g,W005,72.090043156,96.890043156,132.37199316,23.655,205.186,73.75,2021-01-10
4,D004,PET병,13D03094,챔키위드레싱240g,W005,72.339516154,122.43951615,158.14766615,23.805,208.862,73.74,2021-01-10
21,D004,PET병,13D02080,참깨흑임자드레싱,W005,69.821733272,100.02173327,134.81433327,23.195,203.999,,2021-01-11
6,D007,2동 6열컵실러#1,16A01006,고구마샐러드바145g,W005,73.185621002,110.385621,146.038171,23.768,210.005,80.15,2021-01-10
22,D011,2동 오리히로,16A01016,시아스고구마샐러드믹스,W005,71.263821386,107.86382139,142.72567139,23.241,205.72,76.11,2021-01-11
23,D011,2동 오리히로,16A01016,시아스고구마샐러드믹스,W005,71.948241725,102.14824173,137.27809173,23.42,209.133,75.23,2021-01-11
1,P004,PET#1,13D03094,챔키위드레싱240g,W007,71.684808551,128.68480855,164.46415855,23.853,214.681,75.73,2021-01-10
8,P004,PET#1,13D02133,세서미오리엔탈드레싱115g,W007,71.309962246,107.20996225,142.85931225,23.766,205.496,79.97,2021-01-10
10,P004,PET#1,13D02133,세서미오리엔탈드레싱115g,W007,72.054327794,115.45432779,150.72492779,23.514,208.182,72.64,2021-01-10
15,P004,PET#1,13D02142,참깨흑임자드레싱100g,W007,72.360525898,117.3605259,152.3387259,23.319,209.976,75.9,2021-01-10
24,P004,PET#1,13D02080,참깨흑임자드레싱,W007,70.749588126,107.04958813,142.43263813,23.589,204.416,71.52,2021-01-11
8,C001,쿠커 #1,23S01213,카페아모제미트소스(재),W003,70.415051725,85.115051725,121.30865172,24.129,213.486,80.64,2021-01-11
12,C001,쿠커 #1,23S01213,카페아모제미트소스(재),W003,71.290611245,106.59061125,142.43971125,23.899,212.674,73.14,2021-01-11
9,C002,쿠커 #2,23A00409,샘표제주갈치조림소스(재),W003,72.406694944,101.30669494,136.37844494,23.381,207.463,77.83,2021-01-11
10,C002,쿠커 #2,23A00409,샘표제주갈치조림소스(재),W003,71.978770775,92.378770775,128.37422077,23.997,209.459,77.04,2021-01-11
3,C003,쿠커 #3,1.#JE+00,이마트가쓰오다시국물(재),W003,70.964426987,112.46442699,147.68552699,23.481,206.024,77.7,2021-01-11
7,C003,쿠커 #3,1.#JE+00,이마트가쓰오다시국물(재),W003,69.926626104,104.2266261,138.7197261,22.995,203.453,,2021-01-11
13,C003,쿠커 #3,23R04009,돈까스소스1.95kg(재),W003,71.936904048,103.23690405,138.47595405,23.493,205.893,72.82,2021-01-11
16,C003,쿠커 #3,23R04009,돈까스소스1.95kg(재),W003,71.713527514,87.413527514,122.60227751,23.459,206.034,79.34,2021-01-11
11,C006,2동 쿠커 #3,26A02009,미스터피자단호박샐러드(재),W003,71.370671907,107.57067191,143.34592191,23.85,211.997,75.91,2021-01-11
19,C006,2동 쿠커 #3,26A02010,시아스단호박샐러드(재),W003,70.505546563,109.10554656,143.89094656,23.19,203.06,,2021-01-12
2,C007,프리머 #1,26B04008,소후레쉬마요네즈골드3.2kg(재),W003,69.305201301,116.3052013,151.7492513,23.629,204.961,72.13,2021-01-11
5,C007,프리머 #1,26B04008,소후레쉬마요네즈골드3.2kg(재),W003,71.95125861,113.75125861,148.86490861,23.409,204.408,71.59,2021-01-11
21,D004,PET병,13D02152,올리브유발사믹드레싱105g,W005,72.90321937,82.80321937,118.21606937,23.609,206.952,71.97,2021-01-12
4,D005,3.2마요,16B04008,소후레쉬마요네즈골드3.2kg,W005,70.566457854,98.566457854,133.37695785,23.207,202.733,75.5,2021-01-11
6,D005,3.2마요,16B04008,소후레쉬마요네즈골드3.2kg,W005,71.769545196,91.269545196,126.6828952,23.609,209.999,71.59,2021-01-11
15,D011,2동 오리히로,16A02009,미스터피자단호박샐러드,W005,72.041414832,76.941414832,112.40736483,23.644,210.749,78,2021-01-11
17,D011,2동 오리히로,16A02010,시아스단호박샐러드,W005,72.331370972,127.13137097,163.16142097,24.02,213.329,73.94,2021-01-12
18,D011,2동 오리히로,16A02010,시아스단호박샐러드,W005,72.226633405,105.2266334,140.8111334,23.723,212.73,79.29,2021-01-12
22,D011,2동 오리히로,16A02010,시아스단호박샐러드,W005,71.783483938,102.48348394,137.88253394,23.599,209.38,76.87,2021-01-12
23,D011,2동 오리히로,16A02010,시아스단호박샐러드,W005,72.642180897,108.8421809,143.9648809,23.415,210.934,79.18,2021-01-12
1,D013,마요네즈 수동,13V00005,단호박베이스-2,W005,73.3541027,91.3541027,126.4906027,23.424,212.354,73.43,2021-01-11
14,P004,PET#1,13D02111,아몬드호두드레싱,W007,72.393673048,112.09367305,147.63392305,23.694,204.588,75.42,2021-01-11
20,P004,PET#1,13D02139,크리미시저드레싱,W007,69.294194341,92.094194341,127.22719434,23.422,212.222,71.82,2021-01-12
1,C001,쿠커 #1,23L00005,토마토케찹18kg(재),W003,70.641106779,96.241106779,131.65580678,23.61,204.932,79.6,2021-01-12
13,C001,쿠커 #1,23K02146,시아스살사소스-S(재),W003,72.021270899,109.2212709,144.4891209,23.512,208.128,79.23,2021-01-12
7,C002,쿠커 #2,,,W003,70.933857265,108.33385727,143.91735727,23.722,209.892,74.45,2021-01-12
8,C002,쿠커 #2,23A01010,명인냉쫄소스(재),W003,71.206481752,99.906481752,135.66993175,23.842,206.332,77.86,2021-01-12
4,C003,쿠커 #3,23L01002,이마트 야채케챱295g(재),W003,70.875393617,93.875393617,128.87149362,23.331,205.033,76.55,2021-01-12
10,C003,쿠커 #3,23R10010,이마트허니머스타드드레싱280g(재),W003,70.589191287,122.68919129,158.41099129,23.815,209.805,79.09,2021-01-12
16,C006,2동 쿠커 #3,26A01014,미스터피자고구마샐러드엠피(재),W003,71.89150148,109.69150148,145.29140148,23.733,214.32,71.95,2021-01-13
6,C007,프리머 #1,26B03002,마요네즈-업소용10kg(재),W003,71.622930403,104.9229304,139.6204304,23.132,203.581,,2021-01-12
11,C008,프리머 #2,26B06036,JFC마요네즈1kg(재),W003,70.826754406,111.72675441,146.49545441,23.179,205.069,,2021-01-12
18,C008,프리머 #2,26B06036,JFC마요네즈1kg(재),W003,69.677561022,105.57756102,142.44766102,24.58,217.585,76.19,2021-01-13
3,D003,로타리 #2,16B06036,JFC마요네즈1kg,W005,69.993073214,87.093073214,121.55337321,22.974,208.431,,2021-01-12
12,D003,로타리 #2,16B06036,JFC마요네즈1kg,W005,71.292680105,97.792680105,133.23378011,23.627,205.471,79.14,2021-01-12
14,D004,PET병,13D02150,1/2샐러드소스 파인애플,W005,69.923671056,106.52367106,142.21537106,23.794,208.743,73.92,2021-01-13
9,D011,2동 오리히로,16A02010,시아스단호박샐러드,W005,72.696054179,136.19605418,172.21525418,24.013,213.121,78.68,2021-01-12
15,P004,PET#1,13D02150,1/2샐러드소스 파인애플,W007,71.592135456,113.29213546,148.52023546,23.485,208.407,76.44,2021-01-13
2,P005,3.2K마요포장(#5),16B06036,JFC마요네즈1kg,W007,69.866119863,105.56611986,141.62346986,24.038,209.14,80.65,2021-01-12
5,P005,3.2K마요포장(#5),16B06036,JFC마요네즈1kg,W007,71.647160055,103.14716005,138.37391005,23.485,205.542,77.89,2021-01-12
4,C002,쿠커 #2,23K01272,명인돈까스소스(재),W003,73.063423326,109.96342333,145.74637333,23.855,207.88,72.59,2021-01-13
10,C002,쿠커 #2,23A00013,맘스양념소스2kg(재),W003,69.825153041,119.42515304,154.98245304,23.705,207.421,73.5,2021-01-13
19,C002,쿠커 #2,23P01020,미스터피자살사소스엠피(재),W003,69.995977744,104.79597774,140.56452774,23.846,209.93,74.58,2021-01-13
13,C003,쿠커 #3,26A03003,살사후실리샐러드(재),W003,70.94821053,89.14821053,125.06996053,23.948,210.248,73.84,2021-01-13
1,C007,프리머 #1,26B06050,신선하고깨끗한마요네즈(재),W003,71.872322536,131.47232254,167.07087254,23.732,204.59,78.61,2021-01-13
5,C007,프리머 #1,26B06050,신선하고깨끗한마요네즈(재),W003,70.158367717,119.25836772,154.56506772,23.538,204.353,76.82,2021-01-13
9,C007,프리머 #1,26B04003,해표골드마요네즈(재),W003,71.794436723,107.99443672,144.05963672,24.043,215.116,75.34,2021-01-13
16,C008,프리머 #2,26B06022,피자스쿨마요네즈(재),W003,71.362292731,107.66229273,142.89069273,23.486,207.544,72.9,2021-01-13
11,D003,로타리 #2,16B06036,JFC마요네즈1kg,W005,72.372967006,115.37296701,150.25991701,23.258,205.497,73.78,2021-01-13
12,D003,로타리 #2,16B06036,JFC마요네즈1kg,W005,73.000009394,93.800009394,129.11625939,23.544,210.397,78.22,2021-01-13
2,D005,3.2마요,16B06050,신선하고깨끗한마요네즈,W005,73.031675254,94.331675254,128.99517525,23.109,206.533,,2021-01-13
3,D005,3.2마요,16B06050,신선하고깨끗한마요네즈,W005,70.828321203,115.5283212,150.3820212,23.236,204.857,75.15,2021-01-13
6,D005,3.2마요,16B06050,신선하고깨끗한마요네즈,W005,72.874560816,118.57456082,153.44521082,23.247,207.312,70.63,2021-01-13
7,D005,3.2마요,16B04003,해표골드마요네즈,W005,70.154474946,121.05447495,156.86802495,23.876,213.015,72.78,2021-01-13
