연령,직업군,결혼여부,학력,신용카드소지여부,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,p_days,과거통화횟수,계약여부,카드종류,연락일
39,주부,결혼,중졸,없음,없음,대출있음,유선전화,266,1,,0,no,138,2020-01-14
60,회사원,결혼,전문학교,없음,없음,없음,유선전화,253,1,,0,no,139,2020-01-14
53,회사원,미혼,석박사,없음,없음,없음,유선전화,179,1,,0,no,140,2020-01-14
55,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,269,2,,0,no,141,2020-01-15
55,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,135,1,,0,no,142,2020-01-15
50,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,161,1,,0,no,143,2020-01-17
45,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,787,1,,0,no,144,2020-01-17
55,미취업자,결혼,석박사,미확인,대출있음,대출있음,유선전화,145,1,,0,no,145,2020-01-17
25,기술자,미혼,대졸학사,없음,대출있음,없음,유선전화,174,1,,0,no,146,2020-01-17
47,기업가,결혼,대졸학사,미확인,없음,없음,유선전화,449,1,,0,no,147,2020-01-17
51,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,812,1,,0,no,148,2020-01-17
42,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,164,1,,0,no,149,2020-01-17
42,산업노동자,결혼,검정고시,미확인,없음,없음,유선전화,366,1,,0,no,150,2020-01-18
48,회사원,결혼,전문학교,없음,없음,없음,유선전화,357,1,,0,no,151,2020-01-18
37,회사원,결혼,대졸학사,없음,없음,없음,유선전화,232,1,,0,no,152,2020-01-18
44,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,91,1,,0,no,153,2020-01-19
33,회사원,결혼,미확인,없음,대출있음,없음,유선전화,273,1,,0,no,154,2020-01-19
56,회사원,결혼,고졸,없음,대출있음,없음,유선전화,158,2,,0,no,155,2020-01-19
44,산업노동자,미혼,중졸,미확인,대출있음,대출있음,유선전화,177,1,,0,no,156,2020-01-19
41,공무원,결혼,검정고시,없음,없음,없음,유선전화,200,1,,0,no,157,2020-01-20
44,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,172,1,,0,no,158,2020-01-20
47,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,176,1,,0,no,159,2020-01-20
57,미확인,결혼,미확인,미확인,없음,없음,유선전화,211,1,,0,no,160,2020-01-20
37,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,214,1,,0,no,161,2020-01-20
41,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,1575,1,,0,yes,162,2020-01-20
55,기술자,결혼,대졸학사,없음,없음,없음,유선전화,349,1,,0,no,163,2020-01-20
33,서비스종사자,결혼,전문학교,미확인,대출있음,없음,유선전화,337,2,,0,no,164,2020-01-21
55,공무원,결혼,미확인,미확인,대출있음,없음,유선전화,272,1,,0,no,165,2020-01-21
42,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,208,1,,0,no,166,2020-01-21
50,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,193,1,,0,no,167,2020-01-21
51,산업노동자,결혼,중졸,미확인,미확인,미확인,유선전화,212,1,,0,no,168,2020-01-21
38,회사원,결혼,전문학교,미확인,없음,없음,유선전화,165,2,,0,no,169,2020-01-21
49,기업가,결혼,대졸학사,미확인,대출있음,없음,유선전화,1042,1,,0,yes,170,2020-01-22
38,기술자,미혼,대졸학사,없음,없음,대출있음,유선전화,20,1,,0,no,171,2020-01-22
31,회사원,이혼,전문학교,없음,없음,없음,유선전화,246,1,,0,no,172,2020-01-22
41,공무원,결혼,검정고시,없음,없음,없음,유선전화,529,2,,0,no,173,2020-01-22
39,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,192,1,,0,no,174,2020-01-25
49,기술자,결혼,고졸,없음,없음,없음,유선전화,1467,1,,0,yes,175,2020-01-25
34,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,188,2,,0,no,176,2020-01-25
35,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,180,2,,0,no,177,2020-01-25
57,미확인,결혼,미확인,미확인,대출있음,없음,유선전화,48,1,,0,no,178,2020-01-25
60,회사원,결혼,미확인,미확인,없음,대출있음,유선전화,213,2,,0,no,179,2020-01-26
33,미취업자,결혼,고졸,없음,없음,없음,유선전화,545,1,,0,no,180,2020-01-26
42,산업노동자,결혼,검정고시,없음,없음,대출있음,유선전화,583,1,,0,no,181,2020-01-26
45,서비스종사자,결혼,석박사,없음,대출있음,없음,유선전화,221,1,,0,no,182,2020-01-27
42,공무원,결혼,대졸학사,없음,없음,없음,유선전화,426,1,,0,no,183,2020-01-27
53,회사원,이혼,대졸학사,미확인,없음,없음,유선전화,287,1,,0,no,184,2020-01-27
37,기술자,미혼,석박사,없음,없음,없음,유선전화,197,1,,0,no,185,2020-01-27
44,산업노동자,결혼,검정고시,없음,없음,없음,유선전화,257,1,,0,no,186,2020-01-27
54,서비스종사자,결혼,미확인,없음,대출있음,없음,유선전화,229,1,,0,no,187,2020-01-27
49,산업노동자,결혼,중졸,없음,없음,없음,유선전화,55,3,,0,no,188,2020-01-27
54,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,400,1,,0,no,189,2020-01-28
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,197,1,,0,no,190,2020-01-28
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,190,1,,0,no,191,2020-01-28
43,서비스종사자,미혼,전문학교,미확인,없음,없음,유선전화,21,1,,0,no,192,2020-01-28
34,주부,결혼,검정고시,없음,대출있음,없음,유선전화,300,2,,0,no,193,2020-01-28
35,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,123,2,,0,no,194,2020-01-29
42,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,293,1,,0,no,195,2020-01-29
43,기술자,결혼,미확인,미확인,대출있음,대출있음,유선전화,325,1,,0,no,196,2020-01-29
60,은퇴,이혼,대졸학사,미확인,없음,없음,유선전화,514,1,,0,no,197,2020-01-29
58,미취업자,결혼,중졸,미확인,없음,없음,유선전화,849,2,,0,no,198,2020-01-31
35,서비스종사자,이혼,전문학교,없음,대출있음,없음,유선전화,194,1,,0,no,199,2020-01-31
55,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,212,2,,0,no,200,2020-01-31
37,공무원,결혼,대졸학사,없음,없음,없음,유선전화,337,2,,0,no,201,2020-01-31
36,산업노동자,결혼,전문학교,없음,없음,없음,유선전화,286,1,,0,no,202,2020-01-31
52,회사원,이혼,대졸학사,없음,없음,없음,유선전화,247,2,,0,no,203,2020-01-31
57,산업노동자,이혼,미확인,미확인,대출있음,없음,유선전화,518,1,,0,no,204,2020-02-01
56,회사원,결혼,미확인,없음,대출있음,없음,유선전화,364,1,,0,no,205,2020-02-01
48,산업노동자,이혼,중졸,미확인,대출있음,없음,유선전화,178,1,,0,no,206,2020-02-02
40,산업노동자,결혼,전문학교,미확인,대출있음,없음,유선전화,98,1,,0,no,207,2020-02-02
49,산업노동자,이혼,전문학교,없음,없음,없음,유선전화,439,1,,0,no,208,2020-02-02
41,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,139,1,,0,no,209,2020-02-02
45,기술자,결혼,전문학교,없음,대출있음,없음,유선전화,79,1,,0,no,210,2020-02-02
32,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,175,1,,0,no,211,2020-02-02
42,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,262,2,,0,no,212,2020-02-02
50,회사원,결혼,검정고시,없음,없음,없음,유선전화,61,1,,0,no,213,2020-02-03
31,기술자,이혼,석박사,없음,대출있음,대출있음,유선전화,78,1,,0,no,214,2020-02-03
56,은퇴,결혼,중졸,없음,대출있음,없음,유선전화,102,2,,0,no,215,2020-02-03
41,기술자,결혼,석박사,미확인,대출있음,없음,유선전화,579,1,,0,yes,216,2020-02-04
37,산업노동자,결혼,검정고시,없음,대출있음,대출있음,유선전화,143,1,,0,no,217,2020-02-04
41,기술자,결혼,석박사,미확인,없음,없음,유선전화,677,1,,0,no,218,2020-02-04
35,산업노동자,결혼,미확인,없음,대출있음,없음,유선전화,267,1,,0,no,219,2020-02-04
37,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,345,1,,0,no,220,2020-02-04
52,공무원,결혼,대졸학사,없음,없음,없음,유선전화,185,1,,0,no,221,2020-02-04
39,공무원,이혼,대졸학사,없음,없음,없음,유선전화,207,1,,0,no,222,2020-02-04
39,주부,결혼,중졸,미확인,없음,없음,유선전화,69,2,,0,no,223,2020-02-05
56,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,100,2,,0,no,224,2020-02-05
34,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,125,2,,0,no,225,2020-02-05
45,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,461,1,,0,yes,226,2020-02-05
43,미취업자,미혼,대졸학사,없음,대출있음,없음,유선전화,240,1,,0,no,227,2020-02-05
56,공무원,결혼,미확인,없음,대출있음,없음,유선전화,70,1,,0,no,87,2020-02-05
39,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,193,1,,0,no,88,2020-02-05
53,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,136,1,,0,no,89,2020-02-07
38,미확인,이혼,전문학교,미확인,대출있음,없음,유선전화,73,1,,0,no,90,2020-02-07
42,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,528,1,,0,no,91,2020-02-07
42,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,541,1,,0,no,92,2020-02-07
35,회사원,미혼,전문학교,없음,대출있음,없음,유선전화,338,1,,0,no,93,2020-02-07
40,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,163,1,,0,no,94,2020-02-08
51,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,87,1,,0,no,95,2020-02-08
60,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,301,1,,0,no,96,2020-02-08
56,기업가,결혼,미확인,미확인,대출있음,없음,유선전화,46,1,,0,no,97,2020-02-08
39,서비스종사자,이혼,전문학교,미확인,대출있음,없음,유선전화,52,1,,0,no,98,2020-02-09
56,기업가,결혼,미확인,미확인,없음,없음,유선전화,204,1,,0,no,99,2020-02-09
40,산업노동자,결혼,미확인,없음,대출있음,대출있음,유선전화,155,1,,0,no,100,2020-02-09
36,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,98,1,,0,no,101,2020-02-09
51,산업노동자,결혼,미확인,미확인,대출있음,없음,유선전화,71,1,,0,no,102,2020-02-10
51,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,243,1,,0,no,103,2020-02-10
43,기술자,미혼,석박사,없음,대출있음,없음,유선전화,186,2,,0,no,104,2020-02-10
59,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,579,2,,0,no,105,2020-02-10
24,공무원,미혼,대졸학사,없음,대출있음,없음,유선전화,165,2,,0,no,106,2020-02-10
37,산업노동자,미혼,고졸,미확인,대출있음,대출있음,유선전화,163,2,,0,no,107,2020-02-10
40,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,46,1,,0,no,108,2020-02-10
42,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,559,3,,0,no,109,2020-02-11
39,서비스종사자,이혼,전문학교,미확인,없음,없음,유선전화,2033,1,,0,no,110,2020-02-11
37,기업가,결혼,검정고시,없음,없음,없음,유선전화,85,1,,0,no,111,2020-02-11
38,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,506,1,,0,no,112,2020-02-12
56,회사원,이혼,미확인,미확인,없음,없음,유선전화,114,2,,0,no,113,2020-02-12
40,산업노동자,결혼,미확인,없음,없음,없음,유선전화,114,2,,0,no,114,2020-02-12
54,공무원,이혼,대졸학사,없음,대출있음,없음,유선전화,843,2,,0,no,115,2020-02-12
43,산업노동자,결혼,전문학교,미확인,없음,대출있음,유선전화,181,1,,0,no,116,2020-02-12
36,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,427,1,,0,no,117,2020-02-12
45,기술자,결혼,대졸학사,없음,대출있음,대출있음,유선전화,292,1,,0,no,118,2020-02-13
42,회사원,미혼,대졸학사,미확인,없음,없음,유선전화,192,1,,0,no,119,2020-02-13
43,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,93,3,,0,no,120,2020-02-13
46,공무원,결혼,고졸,없음,없음,없음,유선전화,128,2,,0,no,121,2020-02-13
44,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,107,1,,0,no,122,2020-02-13
51,회사원,미혼,검정고시,없음,없음,없음,유선전화,303,2,,0,no,123,2020-02-14
28,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,81,1,,0,no,124,2020-02-14
37,산업노동자,결혼,고졸,없음,없음,없음,유선전화,270,1,,0,no,125,2020-02-14
34,기술자,결혼,전문학교,없음,없음,없음,유선전화,228,1,,0,no,126,2020-02-14
46,산업노동자,결혼,검정고시,미확인,대출있음,없음,유선전화,240,1,,0,no,127,2020-02-14
42,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,673,2,,0,yes,128,2020-02-14
36,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,233,3,,0,no,129,2020-02-14
54,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,1,,0,no,130,2020-02-14
57,공무원,결혼,대졸학사,없음,없음,없음,유선전화,461,1,,0,no,131,2020-02-14
51,기술자,결혼,검정고시,미확인,없음,없음,유선전화,250,1,,0,no,132,2020-02-15
54,은퇴,결혼,전문학교,미확인,없음,없음,유선전화,130,1,,0,no,133,2020-02-15
49,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,252,1,,0,no,134,2020-02-15
34,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,138,1,,0,no,135,2020-02-19
41,기술자,결혼,석박사,없음,없음,없음,유선전화,412,1,,0,no,136,2020-02-19
38,산업노동자,미혼,고졸,없음,대출있음,없음,유선전화,179,2,,0,no,137,2020-02-19
45,공무원,이혼,대졸학사,없음,없음,없음,유선전화,19,2,,0,no,138,2020-02-19
42,기술자,결혼,대졸학사,없음,없음,없음,유선전화,228,2,,0,no,139,2020-02-19
34,산업노동자,미혼,고졸,미확인,대출있음,없음,유선전화,55,1,,0,no,140,2020-02-21
48,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,717,1,,0,no,141,2020-02-21
37,회사원,결혼,전문학교,미확인,대출있음,없음,유선전화,313,1,,0,no,142,2020-02-21
34,산업노동자,미혼,고졸,미확인,없음,없음,유선전화,289,1,,0,no,143,2020-02-21
40,회사원,결혼,고졸,미확인,대출있음,없음,유선전화,683,2,,0,no,144,2020-02-21
43,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,1077,1,,0,no,145,2020-02-21
33,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,146,2,,0,no,146,2020-02-21
32,서비스종사자,미혼,검정고시,없음,없음,없음,유선전화,167,1,,0,no,147,2020-02-22
39,산업노동자,결혼,전문학교,없음,대출있음,없음,유선전화,356,2,,0,no,148,2020-02-22
43,회사원,결혼,미확인,없음,없음,없음,유선전화,277,1,,0,no,149,2020-02-22
44,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,172,1,,0,no,150,2020-02-22
35,학생,미혼,대졸학사,미확인,없음,없음,유선전화,218,1,,0,no,151,2020-02-22
35,학생,미혼,대졸학사,미확인,대출있음,대출있음,유선전화,217,1,,0,no,152,2020-02-22
35,미취업자,결혼,석박사,없음,없음,없음,유선전화,67,1,,0,no,153,2020-02-22
36,서비스종사자,미혼,중졸,없음,없음,없음,유선전화,291,1,,0,no,154,2020-02-22
35,학생,미혼,대졸학사,미확인,대출있음,없음,유선전화,248,1,,0,no,155,2020-02-23
36,학생,미혼,고졸,없음,대출있음,없음,유선전화,256,1,,0,no,156,2020-02-23
55,주부,이혼,대졸학사,없음,없음,없음,유선전화,286,1,,0,no,157,2020-02-23
59,회사원,결혼,대졸학사,없음,없음,없음,유선전화,477,1,,0,no,158,2020-02-23
57,은퇴,결혼,미확인,미확인,없음,없음,유선전화,611,2,,0,no,159,2020-02-23
39,산업노동자,결혼,석박사,미확인,대출있음,없음,유선전화,471,1,,0,no,160,2020-02-23
39,주부,결혼,중졸,미확인,대출있음,없음,유선전화,381,2,,0,no,161,2020-02-24
30,산업노동자,미혼,미확인,없음,대출있음,없음,유선전화,251,1,,0,no,162,2020-02-24
30,산업노동자,미혼,미확인,없음,대출있음,대출있음,유선전화,408,1,,0,no,163,2020-02-24
50,주부,결혼,중졸,미확인,없음,없음,유선전화,287,1,,0,no,164,2020-02-24
40,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,322,3,,0,no,165,2020-02-25
35,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,216,2,,0,no,166,2020-02-25
43,기술자,결혼,미확인,미확인,없음,없음,유선전화,366,2,,0,no,167,2020-02-25
36,서비스종사자,미혼,검정고시,미확인,대출있음,없음,유선전화,210,1,,0,no,168,2020-02-25
46,기술자,결혼,중졸,미확인,대출있음,없음,유선전화,288,1,,0,no,169,2020-02-25
40,기술자,결혼,고졸,없음,없음,없음,유선전화,168,1,,0,no,170,2020-02-26
58,은퇴,결혼,대졸학사,없음,없음,없음,유선전화,132,1,,0,no,171,2020-02-26
42,기술자,결혼,대졸학사,없음,없음,없음,유선전화,64,2,,0,no,172,2020-02-26
35,회사원,미혼,대졸학사,없음,없음,없음,유선전화,209,2,,0,no,173,2020-02-26
43,은퇴,결혼,중졸,미확인,없음,없음,유선전화,410,3,,0,no,174,2020-02-26
45,산업노동자,결혼,중졸,없음,대출있음,대출있음,유선전화,177,1,,0,no,175,2020-02-28
39,회사원,결혼,석박사,없음,대출있음,없음,유선전화,580,2,,0,no,176,2020-02-28
50,서비스종사자,이혼,석박사,없음,대출있음,없음,유선전화,165,1,,0,no,177,2020-02-28
32,공무원,이혼,중졸,미확인,대출있음,없음,유선전화,127,2,,0,no,178,2020-02-28
39,회사원,결혼,전문학교,미확인,없음,없음,유선전화,357,1,,0,no,179,2020-02-28
52,자영업자,결혼,대졸학사,미확인,없음,없음,유선전화,175,1,,0,no,180,2020-02-28
44,회사원,결혼,석박사,없음,대출있음,없음,유선전화,300,1,,0,no,181,2020-02-28
56,산업노동자,결혼,중졸,없음,없음,없음,유선전화,136,1,,0,no,182,2020-02-28
48,회사원,결혼,전문학교,없음,없음,없음,유선전화,125,2,,0,no,183,2020-03-01
33,서비스종사자,결혼,전문학교,미확인,없음,대출있음,유선전화,189,2,,0,no,184,2020-03-01
43,공무원,결혼,대졸학사,미확인,없음,대출있음,유선전화,213,3,,0,no,185,2020-03-01
57,은퇴,결혼,전문학교,없음,없음,없음,유선전화,238,2,,0,no,186,2020-03-01
36,기술자,미혼,석박사,없음,없음,없음,유선전화,124,1,,0,no,187,2020-03-01
34,공무원,결혼,대졸학사,없음,대출있음,없음,유선전화,18,1,,0,no,188,2020-03-01
34,서비스종사자,미혼,고졸,없음,없음,없음,유선전화,730,2,,0,no,189,2020-03-02
30,기술자,결혼,대졸학사,미확인,없음,없음,유선전화,40,1,,0,no,190,2020-03-02
33,서비스종사자,이혼,미확인,없음,없음,없음,유선전화,181,2,,0,no,191,2020-03-02
32,기술자,미혼,석박사,없음,없음,없음,유선전화,79,1,,0,no,192,2020-03-03
36,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,142,2,,0,no,193,2020-03-03
36,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,389,1,,0,no,194,2020-03-03
33,서비스종사자,미혼,전문학교,없음,없음,없음,유선전화,702,1,,0,no,195,2020-03-03
40,기술자,이혼,석박사,없음,없음,없음,유선전화,151,1,,0,no,196,2020-03-03
41,산업노동자,결혼,중졸,없음,대출있음,없음,유선전화,211,1,,0,no,197,2020-03-04
51,서비스종사자,결혼,검정고시,없음,대출있음,없음,유선전화,117,1,,0,no,198,2020-03-04
36,기술자,결혼,석박사,없음,대출있음,없음,유선전화,232,3,,0,no,199,2020-03-04
28,서비스종사자,결혼,미확인,없음,없음,없음,유선전화,408,2,,0,no,200,2020-03-04
53,서비스종사자,결혼,전문학교,없음,대출있음,대출있음,유선전화,370,3,,0,no,201,2020-03-04
58,산업노동자,결혼,고졸,미확인,대출있음,없음,유선전화,179,2,,0,no,202,2020-03-04
45,공무원,결혼,고졸,없음,없음,대출있음,유선전화,46,1,,0,no,203,2020-03-04
43,기술자,결혼,미확인,없음,대출있음,없음,유선전화,200,1,,0,no,204,2020-03-04
33,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,50,1,,0,no,205,2020-03-04
33,회사원,결혼,전문학교,없음,없음,대출있음,유선전화,181,1,,0,no,206,2020-03-04
27,산업노동자,미혼,검정고시,없음,미확인,미확인,유선전화,119,1,,0,no,207,2020-03-04
42,기술자,결혼,전문학교,없음,없음,없음,유선전화,361,1,,0,no,208,2020-03-05
43,회사원,이혼,고졸,없음,없음,없음,유선전화,73,3,,0,no,209,2020-03-05
42,회사원,결혼,대졸학사,없음,없음,없음,유선전화,67,2,,0,no,210,2020-03-05
27,산업노동자,미혼,검정고시,없음,없음,없음,유선전화,350,1,,0,no,211,2020-03-07
34,자영업자,미혼,대졸학사,없음,대출있음,없음,유선전화,150,2,,0,no,212,2020-03-07
31,학생,미혼,대졸학사,미확인,없음,없음,유선전화,332,2,,0,no,213,2020-03-07
54,공무원,이혼,대졸학사,없음,없음,없음,유선전화,611,2,,0,no,214,2020-03-07
40,자영업자,결혼,중졸,미확인,없음,없음,유선전화,58,3,,0,no,215,2020-03-07
52,미취업자,결혼,전문학교,미확인,대출있음,없음,유선전화,151,1,,0,no,216,2020-03-07
47,공무원,이혼,대졸학사,없음,없음,없음,유선전화,89,2,,0,no,217,2020-03-07
49,주부,결혼,고졸,미확인,없음,없음,유선전화,152,1,,0,no,218,2020-03-07
32,회사원,미혼,전문학교,없음,없음,없음,유선전화,611,2,,0,no,219,2020-03-08
49,주부,미혼,전문학교,미확인,대출있음,대출있음,유선전화,110,2,,0,no,220,2020-03-08
50,산업노동자,결혼,고졸,미확인,없음,없음,유선전화,463,1,,0,no,221,2020-03-08
34,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,962,1,,0,no,222,2020-03-08
55,산업노동자,결혼,중졸,미확인,없음,없음,유선전화,102,2,,0,no,223,2020-03-08
47,기술자,미혼,고졸,없음,없음,없음,유선전화,10,4,,0,no,224,2020-03-09
51,은퇴,결혼,석박사,없음,없음,없음,유선전화,118,3,,0,no,225,2020-03-09
