CustomerId,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,StartDate,EndDate,EndDateTmp,ChurnLabel,ChurnScore,ChurnCategory,ChurnReason,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge
C-10013,여성,58,50대,Yes,No,0,No,0,Yes,계좌이체,No,No,No,Yes,10,2020.8.1,,2022.1.1,No,57,,,5536,3,0,21130,105430
C-10014,여성,32,30대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2015.1.1,,2022.1.1,No,53,,,5513,3,0,2600,183060
C-10015,여성,39,30대,No,No,0,No,0,No,계좌이체,Yes,Yes,Yes,Yes,19,2016.5.1,,2022.1.1,No,37,,,5795,3,0,0,0
C-10016,여성,58,50대,Yes,Yes,2,Yes,9,Yes,신용카드,No,Yes,No,Yes,12,2015.2.1,,2022.1.1,No,26,,,4865,5,0,30850,2187120
C-10017,여성,52,50대,Yes,Yes,1,No,0,No,신용카드,Yes,No,Yes,Yes,20,2018.3.1,,2022.1.1,No,37,,,3607,4,0,0,0
C-10018,여성,72,70대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,22,2020.12.1,,2022.1.1,No,50,,,4432,4,0,8810,8810
C-10019,남성,79,70대,No,No,0,No,0,No,신용카드,Yes,No,No,Yes,17,2018.3.1,2021.12.1,2021.12.1,Yes,92,Dissatisfaction,Limited range of services,2654,1,0,12090,542630
C-10020,남성,67,60대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,9,2021.7.1,2021.8.1,2021.8.1,Yes,85,Competitor,Competitor made better offer,5437,3,0,0,0
C-10021,여성,79,70대,Yes,No,0,No,0,No,계좌이체,No,No,No,No,0,2016.11.1,,2022.1.1,No,61,,,4015,3,0,35480,1775800
C-10022,여성,26,20대,Yes,No,0,Yes,1,No,계좌이체,No,Yes,No,Yes,52,2020.8.1,2021.9.1,2021.9.1,Yes,75,Other,Don't know,2973,1,0,49270,639920
C-10023,여성,30,30대,Yes,Yes,2,Yes,1,Yes,계좌이체,No,No,No,Yes,30,2019.2.1,,2022.1.1,No,78,,,3585,4,0,39440,907280
C-10024,여성,22,20대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020.10.1,,2022.1.1,No,59,,,5634,4,0,3500,10620
C-10025,여성,34,30대,Yes,No,0,No,0,No,신용카드,No,No,No,No,0,2021.4.1,2021.8.1,2021.8.1,Yes,81,Price,Competitor had better devices,4133,1,0,14010,56160
C-10027,여성,37,30대,Yes,Yes,3,Yes,10,Yes,계좌이체,No,Yes,Yes,No,57,2016.6.1,,2022.1.1,No,65,,,5892,3,22600,39550,2177740
C-10028,남성,42,40대,Yes,Yes,3,Yes,3,No,신용카드,No,No,No,No,0,2016.7.1,,2022.1.1,No,60,,,6393,4,0,22260,1202090
C-10029,남성,64,60대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018.11.1,,2022.1.1,No,26,,,3722,4,0,42600,1107630
C-10030,여성,47,40대,Yes,Yes,3,Yes,5,No,계좌이체,No,No,No,No,0,2015.4.1,,2022.1.1,No,76,,,4131,5,0,43390,2993260
C-10031,남성,23,20대,No,No,0,Yes,1,No,신용카드,No,No,No,Yes,51,2017.12.1,,2022.1.1,No,55,,,5263,5,0,48590,1798280
C-10032,여성,48,40대,Yes,No,0,Yes,5,No,계좌이체,No,No,No,No,0,2016.12.1,,2022.1.1,No,20,,,6061,3,0,56050,2745220
C-10033,남성,28,20대,Yes,No,0,Yes,9,No,계좌이체,Yes,Yes,Yes,Yes,41,2015.7.1,,2022.1.1,No,42,,,5845,3,0,49490,3264340
C-10034,여성,28,20대,No,No,0,No,0,No,계좌이체,No,No,No,No,0,2015.6.1,,2022.1.1,No,72,,,5462,5,0,26100,1750370
C-10035,남성,33,30대,Yes,Yes,1,Yes,4,Yes,신용카드,Yes,No,Yes,Yes,22,2019.5.1,,2022.1.1,No,29,,,3899,3,0,0,0
C-10036,여성,31,30대,No,Yes,3,No,0,Yes,계좌이체,No,No,No,No,0,2017.6.1,,2022.1.1,No,59,,,4797,4,0,34580,1488780
C-10037,여성,37,30대,Yes,No,0,Yes,2,Yes,계좌이체,Yes,No,No,Yes,9,2016.6.1,,2022.1.1,No,42,,,5875,3,0,5760,315720
C-10038,여성,60,60대,Yes,No,0,Yes,4,Yes,계좌이체,Yes,Yes,No,Yes,14,2016.2.1,,2022.1.1,No,26,,,5238,3,0,18530,1092710
C-10039,여성,48,40대,Yes,Yes,3,Yes,3,No,계좌이체,No,No,No,No,0,2020.1.1,,2022.1.1,No,57,,,5190,5,0,21810,261480
C-10040,남성,60,60대,Yes,Yes,3,Yes,7,Yes,계좌이체,No,No,No,Yes,23,2018.10.1,,2022.1.1,No,46,,,4994,3,0,28590,770660
C-10041,남성,69,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,27,2021.8.1,2021.10.1,2021.10.1,Yes,89,Competitor,Competitor had better devices,3475,2,0,49720,99440
C-10042,여성,20,20대,No,No,0,No,0,No,신용카드,No,Yes,Yes,Yes,59,2018.10.1,,2022.1.1,No,54,,,2297,3,0,55260,1492280
C-10043,남성,31,30대,Yes,Yes,3,Yes,1,No,신용카드,No,No,No,No,0,2018.12.1,,2022.1.1,No,65,,,5230,3,0,26780,669300
C-10044,남성,46,40대,Yes,No,0,Yes,5,Yes,계좌이체,Yes,Yes,No,Yes,19,2018.12.1,,2022.1.1,No,66,,,3807,3,0,7350,182270
C-10045,남성,57,50대,No,Yes,1,No,0,Yes,신용카드,Yes,Yes,Yes,Yes,21,2018.8.1,,2022.1.1,No,73,,,3290,4,0,0,0
C-10046,남성,27,20대,No,No,0,Yes,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2015.1.1,,2022.1.1,No,76,,,6322,3,0,36610,2632790
C-10047,여성,64,60대,No,No,0,No,0,No,신용카드,No,Yes,No,Yes,12,2019.11.1,,2022.1.1,No,57,,,4298,3,0,27120,380360
C-10048,여성,38,30대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,Yes,2,2018.2.1,,2022.1.1,No,36,,,3244,3,0,41130,1440410
C-10049,남성,54,50대,No,No,0,No,0,Yes,신용카드,No,No,No,Yes,9,2020.12.1,,2022.1.1,No,57,,,4427,5,0,48590,48590
C-10050,남성,50,50대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,No,17,2018.8.1,,2022.1.1,No,60,,,4561,5,22600,2370,67240
C-10051,남성,25,20대,No,No,0,No,0,No,계좌이체,Yes,Yes,Yes,No,69,2015.9.1,,2022.1.1,No,67,,,4761,3,45200,6220,397080
C-10052,여성,35,30대,Yes,Yes,3,Yes,1,Yes,신용카드,No,No,Yes,Yes,53,2017.10.1,,2022.1.1,No,43,,,4447,3,0,27570,1074400
C-10053,여성,72,70대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,23,2017.9.1,,2022.1.1,No,59,,,5742,3,0,49830,1995130
C-10054,남성,51,50대,No,No,0,No,0,Yes,신용카드,No,Yes,No,Yes,15,2018.3.1,2021.7.1,2021.7.1,Yes,93,Competitor,Competitor had better devices,2832,1,0,42600,1703590
C-10055,여성,78,70대,No,Yes,1,No,0,Yes,계좌이체,No,Yes,No,No,29,2020.5.1,2021.4.1,2021.4.1,Yes,85,Dissatisfaction,Product dissatisfaction,5980,1,135600,13110,144080
C-10056,여성,30,30대,Yes,No,0,Yes,10,No,계좌이체,No,No,No,Yes,85,2020.7.1,,2022.1.1,No,74,,,3442,3,0,48250,289280
C-10057,남성,58,50대,No,No,0,No,0,Yes,이체/메일확인,Yes,No,No,Yes,15,2018.7.1,,2022.1.1,No,48,,,5039,3,0,2940,89500
C-10058,남성,26,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018.10.1,,2022.1.1,No,39,,,3792,5,0,23390,630310
C-10059,남성,66,60대,Yes,No,0,Yes,3,Yes,계좌이체,No,Yes,No,Yes,28,2015.3.1,,2022.1.1,No,57,,,5291,5,0,44640,3123660
C-10060,여성,20,20대,No,No,0,Yes,10,Yes,계좌이체,No,Yes,Yes,Yes,73,2016.4.1,,2022.1.1,No,65,,,6026,5,0,9040,515960
C-10061,남성,61,60대,Yes,No,0,Yes,10,No,신용카드,No,No,No,Yes,18,2016.3.1,,2022.1.1,No,30,,,5232,5,0,20790,1204020
C-10062,남성,24,20대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,48,2019.9.1,,2022.1.1,No,39,,,3360,5,0,29040,464880
C-10063,여성,55,50대,Yes,No,0,Yes,3,Yes,계좌이체,Yes,Yes,Yes,Yes,27,2015.4.1,,2022.1.1,No,37,,,4216,3,0,43510,3003430
C-10065,남성,59,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,25,2021.1.1,2021.2.1,2021.2.1,Yes,93,Competitor,Attitude of support person,4214,1,0,45990,45990
C-10066,남성,71,70대,Yes,Yes,1,Yes,9,Yes,이체/메일확인,No,Yes,No,Yes,23,2018.5.1,,2022.1.1,No,62,,,2844,5,0,36050,1152040
C-10067,남성,49,40대,Yes,Yes,2,Yes,8,Yes,계좌이체,No,No,No,Yes,12,2019.9.1,,2022.1.1,No,66,,,5560,3,0,55030,880720
C-10068,남성,61,60대,Yes,No,0,Yes,1,No,계좌이체,Yes,No,Yes,Yes,10,2017.9.1,2021.10.1,2021.10.1,Yes,73,Competitor,Competitor offered higher download speeds,6452,2,0,44750,2189940
C-10069,여성,40,40대,Yes,No,0,Yes,2,No,계좌이체,No,Yes,Yes,Yes,29,2015.2.1,,2022.1.1,No,76,,,5224,5,0,0,0
C-10070,여성,39,30대,No,No,0,No,0,No,계좌이체,No,Yes,No,Yes,12,2018.4.1,,2022.1.1,No,33,,,4800,3,0,56160,1852970
C-10071,여성,21,20대,No,No,0,Yes,9,Yes,계좌이체,No,No,No,No,0,2020.3.1,,2022.1.1,No,54,,,3831,4,0,56050,560480
C-10072,남성,24,20대,No,No,0,Yes,1,Yes,계좌이체,No,Yes,Yes,No,59,2020.3.1,2021.12.1,2021.12.1,Yes,89,Attitude,Attitude of service provider,4123,3,135600,41020,860500
C-10073,남성,52,50대,Yes,Yes,1,Yes,1,No,계좌이체,Yes,Yes,No,Yes,23,2018.9.1,2021.10.1,2021.10.1,Yes,80,Competitor,Competitor offered more data,3627,2,0,0,0
C-10074,여성,71,70대,No,No,0,No,0,Yes,신용카드,Yes,No,No,Yes,7,2018.11.1,,2022.1.1,No,46,,,5700,3,0,38080,991240
C-10075,남성,45,40대,No,No,0,No,0,Yes,신용카드,Yes,No,Yes,Yes,7,2016.11.1,,2022.1.1,No,36,,,5052,3,0,0,0
C-10076,여성,29,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,26,2020.12.1,2021.7.1,2021.7.1,Yes,67,Competitor,Price too high,2473,3,0,32320,226340
C-10077,여성,62,60대,Yes,No,0,Yes,1,No,이체/메일확인,Yes,Yes,Yes,Yes,28,2015.12.1,,2022.1.1,No,40,,,5152,4,0,53340,3252820
C-10078,남성,42,40대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,Yes,12,2020.1.1,2021.4.1,2021.4.1,Yes,99,Attitude,Attitude of service provider,3025,2,0,51870,778340
C-10079,여성,51,50대,No,Yes,2,No,0,No,신용카드,Yes,No,Yes,Yes,19,2018.11.1,,2022.1.1,No,45,,,3287,4,0,0,0
C-10080,남성,39,30대,Yes,No,0,Yes,9,Yes,계좌이체,No,No,No,Yes,23,2015.1.1,,2022.1.1,No,20,,,5943,3,0,37520,2702730
C-10081,남성,64,60대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,No,0,2017.5.1,,2022.1.1,No,59,,,3093,3,0,30960,1362330
C-10082,남성,55,50대,No,No,0,No,0,No,신용카드,No,Yes,No,No,8,2015.7.1,,2022.1.1,No,49,,,4889,3,45200,55140,3638040
C-10083,여성,40,40대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,16,2021.8.1,2021.10.1,2021.10.1,Yes,94,Competitor,Competitor offered higher download speeds,3529,2,0,41580,83170
C-10084,여성,76,70대,No,No,0,No,0,No,계좌이체,No,No,Yes,Yes,17,2017.5.1,,2022.1.1,No,71,,,3253,5,0,8700,383860
C-10085,여성,57,50대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,6,2020.7.1,2021.7.1,2021.7.1,Yes,97,Attitude,Attitude of support person,5671,3,0,16270,195040
C-10086,남성,71,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,Yes,Yes,Yes,17,2015.4.1,,2022.1.1,No,63,,,4297,5,0,20790,1435440
C-10088,여성,24,20대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020.11.1,2021.2.1,2021.2.1,Yes,95,Price,Extra data charges,3398,1,0,29150,87350
C-10089,여성,31,30대,No,No,0,Yes,10,No,계좌이체,Yes,Yes,No,Yes,53,2020.11.1,,2022.1.1,No,29,,,5361,3,0,5310,10510
C-10090,여성,77,70대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,4,2018.10.1,,2022.1.1,No,77,,,5990,4,0,3390,90630
C-10091,남성,57,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018.11.1,,2022.1.1,No,68,,,5712,5,0,15030,391880
C-10092,여성,73,70대,Yes,No,0,Yes,9,Yes,계좌이체,No,No,Yes,Yes,21,2017.10.1,,2022.1.1,No,77,,,3172,4,0,22830,888070
C-10093,남성,41,40대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,8,2019.4.1,2021.5.1,2021.5.1,Yes,82,Competitor,Price too high,5641,1,0,39440,985360
C-10094,여성,43,40대,No,No,0,No,0,No,이체/메일확인,No,No,No,Yes,23,2021.1.1,2021.2.1,2021.2.1,Yes,78,Competitor,Attitude of support person,4739,1,0,44970,44970
C-10095,남성,48,40대,Yes,No,0,Yes,1,Yes,계좌이체,Yes,No,Yes,Yes,21,2019.6.1,2021.4.1,2021.4.1,Yes,87,Attitude,Attitude of service provider,5102,2,0,30740,677210
C-10096,여성,56,50대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,5,2015.1.1,,2022.1.1,No,69,,,4589,4,0,54690,3935340
C-10097,여성,51,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2019.1.1,,2022.1.1,No,34,,,2511,5,0,11980,288600
C-10098,여성,34,30대,Yes,No,0,Yes,8,Yes,계좌이체,No,No,No,Yes,16,2019.6.1,,2022.1.1,No,64,,,5072,5,0,8810,168370
C-10099,남성,21,20대,No,No,0,Yes,2,No,신용카드,No,No,No,No,0,2015.2.1,,2022.1.1,No,68,,,5747,5,0,10400,738120
C-10100,남성,78,70대,Yes,No,0,Yes,7,Yes,계좌이체,Yes,No,Yes,Yes,20,2018.4.1,,2022.1.1,No,59,,,5655,3,0,28480,937900
C-10101,여성,60,60대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020.10.1,,2022.1.1,No,74,,,5949,3,0,3050,9150
C-10102,남성,54,50대,Yes,Yes,1,Yes,7,No,계좌이체,No,Yes,No,Yes,13,2017.2.1,,2022.1.1,No,76,,,3760,3,0,1240,57860
C-10103,남성,42,40대,Yes,Yes,3,Yes,2,No,신용카드,Yes,Yes,Yes,Yes,20,2015.11.1,,2022.1.1,No,43,,,5298,4,0,2030,123280
C-10104,남성,22,20대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,48,2015.2.1,,2022.1.1,No,59,,,4644,4,0,3280,231090
C-10105,남성,71,70대,Yes,No,0,Yes,8,Yes,계좌이체,No,No,No,Yes,11,2020.6.1,,2022.1.1,No,36,,,5711,4,0,47460,331990
C-10106,여성,56,50대,Yes,Yes,2,Yes,6,No,신용카드,Yes,No,No,Yes,28,2018.10.1,,2022.1.1,No,57,,,4331,3,0,52770,1423570
C-10107,남성,33,30대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020.11.1,,2022.1.1,No,59,,,4978,3,0,2030,4070
C-10108,여성,32,30대,No,Yes,3,No,0,No,계좌이체,Yes,No,Yes,Yes,75,2018.12.1,,2022.1.1,No,69,,,2754,4,0,0,0
C-10109,남성,80,80대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,No,Yes,5,2018.7.1,,2022.1.1,No,55,,,3033,4,0,43620,1308880
C-10110,여성,73,70대,Yes,No,0,Yes,1,Yes,신용카드,Yes,Yes,Yes,Yes,19,2016.3.1,2021.1.1,2021.1.1,Yes,100,Attitude,Attitude of support person,5067,1,0,19100,1110230
C-10111,남성,26,20대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,No,82,2020.5.1,2021.3.1,2021.3.1,Yes,75,Competitor,Competitor offered more data,3573,3,113000,2260,22830
C-10112,여성,59,50대,No,No,0,No,0,Yes,신용카드,No,No,No,Yes,28,2020.4.1,,2022.1.1,No,68,,,5841,5,0,10510,94240
C-10113,여성,78,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,Yes,17,2021.4.1,2021.10.1,2021.10.1,Yes,77,Other,Deceased,5721,3,0,32430,194700
C-10114,여성,47,40대,Yes,Yes,1,Yes,7,No,계좌이체,Yes,No,No,No,16,2015.4.1,,2022.1.1,No,49,,,5629,3,45200,43960,3034620
C-10115,여성,68,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,20,2015.7.1,,2022.1.1,No,69,,,4861,3,0,11870,779360
C-10116,여성,30,30대,No,No,0,No,0,No,신용카드,Yes,Yes,Yes,Yes,52,2015.10.1,2021.8.1,2021.8.1,Yes,87,Dissatisfaction,Network reliability,4838,1,0,11530,807610
C-10117,남성,62,60대,No,No,0,No,0,No,계좌이체,No,No,No,No,0,2019.9.1,2021.10.1,2021.10.1,Yes,79,Price,Lack of affordable download/upload speed,3779,3,0,6330,157410
C-10118,여성,52,50대,Yes,Yes,2,Yes,1,Yes,신용카드,No,No,No,No,0,2017.3.1,,2022.1.1,No,77,,,5596,5,0,27460,1264700
C-10119,여성,63,60대,Yes,No,0,Yes,7,Yes,신용카드,Yes,Yes,Yes,Yes,26,2016.7.1,,2022.1.1,No,67,,,4488,4,0,12880,695630
C-10120,여성,54,50대,No,No,0,No,0,No,계좌이체,Yes,No,Yes,Yes,7,2020.9.1,2021.12.1,2021.12.1,Yes,84,Competitor,Competitor made better offer,2122,1,0,25310,379570
C-10121,여성,48,40대,Yes,Yes,1,No,0,No,계좌이체,No,No,No,No,0,2020.1.1,,2022.1.1,No,29,,,3713,3,0,9380,111870
C-10122,여성,51,50대,No,No,0,No,0,Yes,계좌이체,No,Yes,No,Yes,22,2019.3.1,,2022.1.1,No,73,,,2875,3,0,0,0
C-10123,여성,22,20대,No,No,0,Yes,9,No,계좌이체,No,Yes,Yes,Yes,85,2015.3.1,,2022.1.1,No,42,,,5640,4,0,0,0
C-10124,남성,52,50대,No,No,0,No,0,Yes,신용카드,Yes,Yes,No,No,20,2018.7.1,,2022.1.1,No,66,,,5393,4,146900,27910,838350
C-10125,남성,22,20대,No,No,0,Yes,1,No,계좌이체,No,Yes,No,Yes,59,2015.2.1,,2022.1.1,No,37,,,5876,5,0,31980,2273670
C-10126,남성,33,30대,Yes,No,0,Yes,2,No,신용카드,No,No,No,No,0,2018.7.1,,2022.1.1,No,74,,,4006,5,0,11070,332560
C-10127,남성,26,20대,Yes,No,0,Yes,5,Yes,계좌이체,No,Yes,No,Yes,19,2021.7.1,2021.11.1,2021.11.1,Yes,73,Competitor,Don't know,4939,3,0,32540,130060
C-10128,남성,58,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,28,2020.11.1,2021.1.1,2021.1.1,Yes,67,Competitor,Competitor offered more data,3273,1,0,15930,31980
C-10129,남성,22,20대,No,Yes,1,No,0,Yes,계좌이체,No,No,No,No,0,2020.3.1,,2022.1.1,No,48,,,3044,5,0,8930,88820
C-10130,남성,66,60대,No,No,0,No,0,No,계좌이체,Yes,No,No,Yes,29,2020.9.1,,2022.1.1,No,40,,,4033,3,0,41130,164530
C-10131,남성,69,60대,No,No,0,No,0,Yes,신용카드,Yes,No,No,Yes,19,2016.9.1,,2022.1.1,No,67,,,4865,3,0,0,0
C-10132,남성,25,20대,No,No,0,No,0,No,계좌이체,No,No,No,Yes,85,2021.2.1,2021.7.1,2021.7.1,Yes,82,Competitor,Competitor offered higher download speeds,2857,2,0,24860,124410
C-10133,남성,30,30대,Yes,Yes,3,Yes,1,No,신용카드,No,No,No,No,0,2020.5.1,,2022.1.1,No,32,,,3899,4,0,3280,25990
C-10134,여성,73,70대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,22,2020.11.1,,2022.1.1,No,44,,,3805,3,0,27010,54010
C-10135,남성,46,40대,No,No,0,No,0,No,계좌이체,No,Yes,No,Yes,26,2020.10.1,,2022.1.1,No,43,,,5828,5,0,15480,46560
C-10136,남성,40,40대,No,No,0,No,0,No,계좌이체,No,No,Yes,Yes,18,2019.6.1,,2022.1.1,No,39,,,3949,4,0,13450,254480
C-10137,남성,53,50대,No,No,0,No,0,No,계좌이체,Yes,Yes,Yes,Yes,13,2015.1.1,,2022.1.1,No,32,,,4262,5,0,4180,297760
C-10138,남성,76,70대,Yes,No,0,Yes,2,No,계좌이체,Yes,No,Yes,Yes,7,2015.10.1,,2022.1.1,No,48,,,5089,3,0,0,0
C-10139,남성,38,30대,Yes,No,0,Yes,1,Yes,계좌이체,Yes,Yes,Yes,Yes,29,2015.7.1,,2022.1.1,No,77,,,5500,4,0,0,0
C-10140,남성,23,20대,No,No,0,No,0,Yes,계좌이체,No,No,Yes,Yes,27,2021.3.1,2021.4.1,2021.4.1,Yes,66,Competitor,Attitude of support person,3389,3,0,50400,50400
C-10141,여성,24,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,48,2016.1.1,,2022.1.1,No,49,,,5687,3,0,17290,1036660
C-10142,여성,43,40대,Yes,Yes,3,Yes,3,No,신용카드,Yes,No,No,Yes,22,2017.1.1,,2022.1.1,No,21,,,5269,3,0,0,0
C-10143,여성,45,40대,No,No,0,No,0,Yes,신용카드,No,No,No,Yes,4,2021.5.1,2021.6.1,2021.6.1,Yes,86,Other,Moved,3967,2,0,37630,37630
C-10144,남성,49,40대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,15,2020.5.1,2021.8.1,2021.8.1,Yes,77,Competitor,Competitor offered higher download speeds,5264,1,0,55260,829420
C-10145,여성,62,60대,Yes,No,0,Yes,4,Yes,계좌이체,Yes,Yes,Yes,Yes,13,2016.11.1,,2022.1.1,No,21,,,4676,3,0,39100,1953210
C-10146,남성,25,20대,Yes,Yes,1,Yes,10,No,신용카드,Yes,Yes,Yes,Yes,30,2015.1.1,,2022.1.1,No,50,,,4193,3,0,38190,2745900
C-10147,여성,37,30대,No,No,0,No,0,No,신용카드,Yes,Yes,No,No,21,2017.3.1,,2022.1.1,No,49,,,3509,4,113000,48930,2249150
C-10148,여성,35,30대,Yes,Yes,1,Yes,4,No,계좌이체,Yes,Yes,Yes,Yes,19,2015.1.1,,2022.1.1,No,75,,,6342,4,0,33900,2440800
C-10149,남성,37,30대,Yes,Yes,3,Yes,2,No,신용카드,No,No,No,No,0,2020.12.1,,2022.1.1,No,43,,,2004,5,0,38760,38760
C-10150,여성,27,20대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,51,2020.12.1,,2022.1.1,No,57,,,5617,4,0,32880,32880
C-10151,여성,69,60대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,21,2015.6.1,,2022.1.1,No,80,,,5857,4,0,2940,194590
C-10152,여성,44,40대,Yes,Yes,1,Yes,5,No,계좌이체,No,Yes,Yes,Yes,27,2017.1.1,,2022.1.1,No,50,,,3246,4,0,10060,484880
C-10153,여성,30,30대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,Yes,Yes,73,2015.1.1,,2022.1.1,No,37,,,5234,4,0,47350,3409780
C-10154,남성,64,60대,Yes,No,0,Yes,6,Yes,신용카드,Yes,Yes,Yes,Yes,24,2016.9.1,,2022.1.1,No,64,,,4628,4,0,46670,2429160
C-10155,여성,44,40대,Yes,Yes,3,Yes,1,No,신용카드,No,Yes,No,Yes,28,2015.6.1,,2022.1.1,No,51,,,5122,5,0,53000,3550800
C-10156,여성,58,50대,Yes,No,0,Yes,1,Yes,계좌이체,No,No,No,Yes,13,2019.1.1,2021.5.1,2021.5.1,Yes,98,Competitor,Competitor had better devices,5201,1,0,19100,533130
C-10157,여성,29,20대,Yes,Yes,1,Yes,9,No,계좌이체,No,Yes,No,Yes,51,2018.5.1,,2022.1.1,No,74,,,5442,3,0,37630,1203450
C-10158,여성,80,80대,Yes,No,0,Yes,2,Yes,계좌이체,Yes,No,No,Yes,25,2019.2.1,2021.5.1,2021.5.1,Yes,99,Attitude,Lack of self-service on Website,4517,1,0,7910,214140
C-10159,남성,22,20대,No,No,0,No,0,No,계좌이체,No,Yes,No,Yes,73,2020.10.1,,2022.1.1,No,61,,,5625,5,0,35600,106670
